Marca_temporal;Puntuación;Nacionalidad;Modalidad_de_trabajo;Departamento_de_residencia;Género;Edad_en_años;Rol_principal_actual_en_la_organización;Años_de_experiencia_en_desarrollo_de_software;Años_de_experiencia_en_la_organización_actual;Considera_usted_que_es_feliz_en_su_trabajo;Considera_usted_que_los_proyectos_de_software_en_los_que_ha_participado_han_culminado_como;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;Trabajo en equipo;Comunicación;Igualdad;Condición física;Liderazgo;Motivación
2022-10-04 22:08:01.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;29;Diseñador o arquitecto;De 3 a 7 años;Menos de 1 año;Si;Discutidos;3;3;4;4;3;2;2;3;3;2;3;3;3;3;2;4;3;4;1;2;2;3;2;3;3;3;3
2022-10-05 09:27:13.0000000;;Colombiana;Virtual;Bogotá;Masculino;46;Analista;Superior a 7 años;Superior a 7 años;Si;Exitosos;3;3;3;3;3;1;2;3;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-05 09:29:45.0000000;;Colombiana;Virtual;Nariño;Femenino;43;Documentador;De 1 a 3 años;Superior a 7 años;No;Exitosos;3;3;3;3;3;2;3;2;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-05 09:40:25.0000000;;Colombiana;Virtual;Nariño;Masculino;39;Administrador de proyecto;Superior a 7 años;De 1 a 3 años;Si;Exitosos;4;4;3;3;3;4;2;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;3;4
2022-10-05 09:41:01.0000000;;Colombiana;Virtual;Bogotá;Femenino;30;Programador;De 3 a 7 años;De 1 a 3 años;Si;Discutidos;3;3;3;4;4;4;3;4;4;3;3;4;3;3;3;3;4;4;3;3;3;3;3;4;4;4;4
2022-10-05 09:45:10.0000000;;Colombiana;Virtual;Bogotá;Masculino;31;Administrador de proyecto;Superior a 7 años;De 1 a 3 años;No;Exitosos;3;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4
2022-10-05 09:45:20.0000000;;Colombiana;Híbrida (Virtual+Presencial);Nariño;Femenino;43;Ingeniero de mantenimiento - soporte;Menos de 1 año;De 3 a 7 años;Si;Exitosos;2;2;1;3;3;1;3;3;2;1;1;1;1;3;3;3;3;1;3;1;1;2;3;2;2;2;2
2022-10-05 09:51:46.0000000;;Colombiana;Presencial;Nariño;Masculino;46;Administrador de proyecto;De 3 a 7 años;Superior a 7 años;Si;Exitosos;3;3;4;4;4;3;3;3;3;3;3;2;3;4;4;4;3;3;3;4;3;3;3;3;3;3;4
2022-10-05 09:57:38.0000000;;Colombiana;Virtual;Antioquia;Masculino;19;Programador;De 1 a 3 años;Menos de 1 año;Si;Exitosos;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-05 10:00:23.0000000;;Colombiana;Presencial;Santander;Masculino;26;Programador;De 1 a 3 años;Menos de 1 año;No;Fallidos;2;3;3;2;3;2;3;3;2;3;3;3;2;1;1;2;3;2;2;3;3;2;2;3;3;3;2
2022-10-05 10:02:03.0000000;;Colombiana;Híbrida (Virtual+Presencial);Cundinamarca;Masculino;28;Programador;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;3;4;3;4;4;3;3;4;3;4;3;3;4;3;4;4;4;4;4;3;3;4;3;4;4;3;3
2022-10-05 10:05:51.0000000;;Colombiana;Virtual;Bogotá;Femenino;36;Analista;Menos de 1 año;Superior a 7 años;Si;Exitosos;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-05 10:08:09.0000000;;Colombiana;Virtual;Bogotá;Femenino;38;Tester;Superior a 7 años;Superior a 7 años;Si;Exitosos;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-05 10:08:25.0000000;;Colombiana;Virtual;Bogotá;Femenino;28;Tester;Superior a 7 años;Menos de 1 año;Si;Exitosos;3;4;4;4;4;3;3;4;4;3;4;4;4;4;3;3;4;4;4;3;4;4;3;4;4;4;4
2022-10-05 10:09:11.0000000;;Colombiana;Virtual;Cundinamarca;Masculino;30;Tester;De 1 a 3 años;De 1 a 3 años;Si;Exitosos;4;4;4;4;4;4;4;3;3;4;4;3;3;4;4;4;4;3;4;4;3;4;4;4;3;4;4
2022-10-05 10:10:03.0000000;;Colombiana;Híbrida (Virtual+Presencial);Cauca;Femenino;31;Ingeniero de mantenimiento - soporte;Menos de 1 año;De 1 a 3 años;Si;Exitosos;3;3;3;4;3;3;3;3;4;2;3;3;4;3;3;4;2;3;3;3;3;4;3;3;3;3;3
2022-10-05 10:10:45.0000000;;Colombiana;Híbrida (Virtual+Presencial);Nariño;Femenino;42;Ingeniero de mantenimiento - soporte;Superior a 7 años;Superior a 7 años;Si;Exitosos;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;3;4;2;4;4;4;3;4;4;4
2022-10-05 10:14:06.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;45;Administrador de proyecto;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;3;3;4;4;4;4;4;4;4;4;3;3;3;4;4;4;3;3;4;3;4;4;4;3;4;4;4
2022-10-05 10:18:28.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;32;Administrador de proyecto;De 1 a 3 años;Menos de 1 año;Si;Exitosos;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4
2022-10-05 10:21:02.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;37;Administrador de proyecto;Superior a 7 años;Superior a 7 años;Si;Exitosos;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4
2022-10-05 10:23:12.0000000;;Colombiana;Virtual;Bogotá;Masculino;31;Programador;De 3 a 7 años;Menos de 1 año;Si;Exitosos;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3
2022-10-05 10:30:56.0000000;;Colombiana;Presencial;Bogotá;Masculino;44;Ingeniero de mantenimiento - soporte;De 1 a 3 años;Menos de 1 año;Si;Exitosos;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3
2022-10-05 10:38:38.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;46;Administrador de proyecto;Superior a 7 años;Superior a 7 años;Si;Exitosos;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-05 10:40:54.0000000;;Colombiana;Virtual;Cauca;Femenino;28;Administrador de proyecto;De 1 a 3 años;Menos de 1 año;No;Discutidos;2;3;2;3;3;1;2;3;3;3;2;2;3;2;3;3;2;3;3;2;2;3;2;2;3;3;2
2022-10-05 10:43:02.0000000;;Colombiana;Híbrida (Virtual+Presencial);Nariño;Masculino;31;Ingeniero de validación y verificación;Menos de 1 año;De 3 a 7 años;Si;Exitosos;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;4;4;4;3;2;3;3;4;3;3;3
2022-10-05 10:48:23.0000000;;Colombiana;Virtual;Bogotá;Masculino;39;Ingeniero de mantenimiento - soporte;Menos de 1 año;De 3 a 7 años;No;Exitosos;4;3;3;3;4;1;1;3;3;4;2;1;3;4;4;4;4;4;4;4;2;4;3;4;3;3;3
2022-10-05 11:08:26.0000000;;Colombiana;Virtual;Cundinamarca;Masculino;36;Ingeniero de mantenimiento - soporte;De 1 a 3 años;De 1 a 3 años;Si;Exitosos;3;3;3;3;3;1;2;3;3;4;3;3;4;3;3;3;3;3;4;3;3;4;3;3;3;3;3
2022-10-05 11:08:30.0000000;;Colombiana;Híbrida (Virtual+Presencial);Santander;Masculino;30;Programador;De 3 a 7 años;Menos de 1 año;Si;Exitosos;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-05 11:12:04.0000000;;Colombiana;Híbrida (Virtual+Presencial);Cundinamarca;Masculino;38;Ingeniero de mantenimiento - soporte;Menos de 1 año;De 3 a 7 años;Si;Exitosos;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-05 11:13:12.0000000;;Colombiana;Virtual;Norte de Santander;Masculino;23;Diseñador o arquitecto;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;4;4;4;4;3;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4
2022-10-05 11:20:48.0000000;;Colombiana;Virtual;Bogotá;Femenino;36;Administrador de proyecto;De 1 a 3 años;Menos de 1 año;Si;Exitosos;3;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-05 11:22:50.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;37;Administrador de proyecto;Menos de 1 año;Menos de 1 año;No;Exitosos;3;3;3;3;3;2;3;3;2;3;3;1;3;3;3;3;3;2;3;2;3;3;3;2;3;2;3
2022-10-05 11:26:35.0000000;;Colombiana;Virtual;Cundinamarca;Masculino;31;Diseñador o arquitecto;De 3 a 7 años;De 3 a 7 años;Si;Exitosos;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4
2022-10-05 11:26:47.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;39;Diseñador o arquitecto;Superior a 7 años;De 1 a 3 años;Si;Exitosos;3;3;4;4;4;2;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;3;4;4;3;3
2022-10-05 11:29:35.0000000;;Colombiana;Virtual;Cauca;Masculino;32;Administrador de configuración;De 1 a 3 años;De 1 a 3 años;Si;Exitosos;4;4;4;4;2;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4
2022-10-05 11:30:34.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;32;Programador;De 3 a 7 años;Superior a 7 años;Si;Exitosos;3;3;4;3;4;2;2;3;4;3;3;2;3;3;3;3;4;4;3;3;3;3;3;4;3;3;3
2022-10-05 11:31:36.0000000;;Colombiana;Presencial;Cundinamarca;Masculino;27;Diseñador o arquitecto;Superior a 7 años;Menos de 1 año;Si;Discutidos;3;3;3;3;4;2;3;3;3;3;2;3;3;3;3;4;4;4;4;4;4;4;3;4;4;3;3
2022-10-05 11:33:21.0000000;;Colombiana;Virtual;Nariño;Masculino;38;Diseñador o arquitecto;De 3 a 7 años;De 3 a 7 años;Si;Exitosos;3;4;4;4;4;3;4;4;4;2;3;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4
2022-10-05 11:47:50.0000000;;Colombiana;Virtual;Bogotá;Masculino;31;Administrador de configuración;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;3;4;3;4;4;4;4;3;3;3;3;4;4;3;4;4;4;4;3;3;4;4;4;4;4;3;4
2022-10-05 12:00:51.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;31;Programador;De 3 a 7 años;De 3 a 7 años;Si;Exitosos;3;4;4;3;2;3;3;3;3;3;3;3;3;4;4;4;4;4;3;4;4;4;3;4;4;3;3
2022-10-05 12:00:52.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;29;Ingeniero de mantenimiento - soporte;De 1 a 3 años;De 1 a 3 años;Si;Exitosos;3;4;3;4;4;3;3;3;3;3;3;2;3;3;4;4;4;4;4;4;3;4;3;4;3;3;3
2022-10-05 12:37:29.0000000;;Colombiana;Virtual;Bogotá;Femenino;36;Administrador de proyecto;Superior a 7 años;Menos de 1 año;Si;Exitosos;3;3;2;3;3;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-05 13:01:46.0000000;;Colombiana;Virtual;Bogotá;Masculino;31;Programador;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;4;3;3;4;4;2;3;4;4;3;4;3;3;4;4;4;3;3;3;4;4;3;4;3;4;3;4
2022-10-05 13:07:38.0000000;;Colombiana;Presencial;Nariño;Masculino;36;Ingeniero de mantenimiento - soporte;De 1 a 3 años;De 3 a 7 años;Si;Exitosos;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-05 13:08:38.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;28;Ingeniero de mantenimiento - soporte;Menos de 1 año;Menos de 1 año;No;Exitosos;3;3;3;3;3;2;3;2;2;2;3;2;3;3;3;3;2;3;3;3;3;3;3;3;3;2;3
2022-10-05 13:17:49.0000000;;Colombiana;Virtual;Bogotá;Masculino;50;Administrador de proyecto;Superior a 7 años;Superior a 7 años;Si;Exitosos;3;3;3;4;3;3;3;3;3;2;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;4
2022-10-05 13:22:33.0000000;;Colombiana;Virtual;Bogotá;Masculino;41;Administrador de proyecto;Superior a 7 años;De 1 a 3 años;Si;Exitosos;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-05 13:27:25.0000000;;Colombiana;Virtual;Bogotá;Masculino;42;Ingeniero de validación y verificación;Menos de 1 año;Superior a 7 años;Si;Exitosos;3;3;3;3;4;3;3;4;3;2;3;3;3;4;4;2;3;3;3;3;4;3;3;3;4;3;3
2022-10-05 13:31:37.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;45;Administrador de proyecto;De 3 a 7 años;Superior a 7 años;Si;Exitosos;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4
2022-10-05 14:14:35.0000000;;Colombiana;Virtual;Bogotá;Femenino;42;Administrador de proyecto;Superior a 7 años;Superior a 7 años;Si;Exitosos;4;4;3;4;4;3;4;4;3;3;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;3;4
2022-10-05 14:17:15.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;31;Analista;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;3;3;3;4;4;2;3;4;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;4;3;3
2022-10-05 14:17:57.0000000;;Colombiana;Virtual;Cauca;Femenino;32;Administrador de proyecto;De 3 a 7 años;Menos de 1 año;Si;Exitosos;3;3;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;3;3;3;3;3;4;3;4;4;4
2022-10-05 14:22:00.0000000;;Colombiana;Virtual;Cundinamarca;Femenino;38;Administrador de proyecto;Superior a 7 años;De 3 a 7 años;Si;Discutidos;3;4;3;4;4;2;2;4;3;3;3;2;2;4;4;4;4;4;3;3;3;3;3;4;4;3;3
2022-10-05 14:43:01.0000000;;Colombiana;Virtual;Bogotá;Masculino;32;Programador;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;4;4;4;4;3;3;4;3;3;3;3;3;3;3;4;3;4;4;3;3;4;3;4;4;4;3;3
2022-10-05 14:43:34.0000000;;Colombiana;Virtual;Nariño;Masculino;42;Diseñador o arquitecto;Superior a 7 años;Menos de 1 año;No;Exitosos;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-05 15:31:45.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;32;Ingeniero de mantenimiento - soporte;Superior a 7 años;Menos de 1 año;Si;Exitosos;3;4;3;4;3;3;2;2;2;3;3;3;3;3;3;4;4;3;3;4;3;4;3;4;3;3;3
2022-10-05 18:21:28.0000000;;Colombiana;Virtual;Cesar;Masculino;32;Administrador de proyecto;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;3;4;3;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;4;4;4;4;3;3;4;3;4
2022-10-05 18:34:03.0000000;;Colombiana;Virtual;Bogotá;Femenino;27;Programador;De 3 a 7 años;De 3 a 7 años;Si;Exitosos;3;4;3;3;4;3;3;4;4;4;3;2;3;4;4;3;4;4;4;2;4;4;3;3;4;3;3
2022-10-05 18:51:10.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;36;Analista;Menos de 1 año;De 3 a 7 años;No;Fallidos;3;2;3;3;2;2;3;3;2;3;2;2;3;3;3;2;3;3;3;2;3;3;3;3;3;2;3
2022-10-05 19:41:43.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;34;Programador;Superior a 7 años;De 1 a 3 años;Si;Exitosos;2;3;3;3;3;3;3;3;3;2;3;3;4;3;3;3;3;3;4;3;3;4;3;3;3;3;3
