Marca_temporal;Puntuación;Nacionalidad;Modalidad_de_trabajo;Departamento_de_residencia;Género;Edad_en_años;Rol_principal_actual_en_la_organización;Años_de_experiencia_en_desarrollo_de_software;Años_de_experiencia_en_la_organización_actual;Considera_usted_que_es_feliz_en_su_trabajo;Considera_usted_que_los_proyectos_de_software_en_los_que_ha_participado_han_culminado_como;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;Trabajo en equipo;Comunicación;Igualdad;Condición física;Liderazgo;Motivación
2022-10-05 19:45:13.0000000;;Colombiana;Presencial;Bogotá;Femenino;42;Administrador de proyecto;De 1 a 3 años;Superior a 7 años;Si;Exitosos;4;4;4;4;3;3;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4
2022-10-05 19:55:50.0000000;;Colombiana;Virtual;Bogotá;Femenino;29;Administrador de proyecto;Menos de 1 año;De 1 a 3 años;Si;Exitosos;4;4;4;4;4;4;3;3;3;2;3;3;3;4;4;3;4;4;4;3;4;4;4;4;4;3;4
2022-10-05 20:19:37.0000000;;Colombiana;Presencial;Bogotá;Masculino;31;Ingeniero de mantenimiento - soporte;Menos de 1 año;De 1 a 3 años;Si;Exitosos;3;3;3;4;4;2;2;3;3;4;3;2;3;4;3;4;4;3;4;4;3;4;3;4;3;3;3
2022-10-06 06:38:07.0000000;;Colombiana;Virtual;Bogotá;Masculino;27;Programador;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;3;4;4;3;3;4;4;4;3;3;3;3;3;4;3;4;3;4;4;3;3;4;3;3;4;3;4
2022-10-06 08:26:25.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;34;Analista;De 3 a 7 años;Superior a 7 años;Si;Exitosos;4;4;3;4;4;4;3;4;3;4;3;3;3;4;4;4;4;4;4;4;3;4;4;4;4;3;4
2022-10-06 08:54:37.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;35;Tester;De 1 a 3 años;Superior a 7 años;Si;Exitosos;4;4;4;4;4;1;2;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3
2022-10-06 09:54:15.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;35;Programador;Superior a 7 años;Superior a 7 años;Si;Exitosos;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-06 10:07:57.0000000;;Colombiana;Virtual;Bogotá;Masculino;29;Analista;Menos de 1 año;De 3 a 7 años;Si;Exitosos;3;4;3;1;4;1;4;3;4;4;3;3;4;3;4;4;4;4;4;3;3;4;4;4;3;4;2
2022-10-06 10:44:33.0000000;;Colombiana;Híbrida (Virtual+Presencial);Valle del Cauca;Femenino;41;Analista;Superior a 7 años;De 3 a 7 años;No;Discutidos;3;2;3;3;3;1;1;3;3;3;1;1;3;2;3;2;1;2;2;2;3;2;2;2;3;3;2
2022-10-06 13:20:12.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;40;Administrador de configuración;Superior a 7 años;Superior a 7 años;Si;Exitosos;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-06 13:58:19.0000000;;Colombiana;Virtual;Bogotá;Masculino;64;Programador;Superior a 7 años;De 1 a 3 años;Si;Exitosos;2;3;2;3;3;2;2;2;2;3;3;1;2;2;2;2;3;2;3;2;2;3;2;2;2;2;3
2022-10-06 14:20:43.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;34;Analista;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-06 14:37:56.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;44;Diseñador o arquitecto;Superior a 7 años;Menos de 1 año;Si;Exitosos;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-06 17:51:40.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;30;Ingeniero de mantenimiento - soporte;De 3 a 7 años;De 3 a 7 años;Si;Exitosos;4;4;4;4;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3
2022-10-06 17:57:48.0000000;;Colombiana;Virtual;Bogotá;Masculino;34;Administrador de proyecto;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;3;3;4;4;4;3;3;4;3;3;3;3;3;4;4;3;3;3;3;3;4;3;3;3;4;3;4
2022-10-06 17:59:49.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;24;Analista;De 3 a 7 años;De 1 a 3 años;No;Discutidos;2;3;4;2;2;1;2;3;3;2;3;2;3;2;3;2;3;3;3;2;2;3;2;3;3;3;2
2022-10-06 20:25:09.0000000;;Colombiana;Virtual;Bogotá;Masculino;27;Programador;De 3 a 7 años;De 3 a 7 años;Si;Exitosos;3;3;3;2;2;3;3;2;2;3;3;3;3;2;2;3;4;3;3;3;3;3;3;3;3;3;3
2022-10-07 05:54:09.0000000;;Colombiana;Presencial;Antioquia;Masculino;28;Programador;De 3 a 7 años;De 1 a 3 años;No;Exitosos;3;3;2;3;3;2;3;3;2;2;3;1;3;3;3;2;3;2;2;2;3;3;3;2;3;2;3
2022-10-07 09:00:31.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;39;Administrador de proyecto;Superior a 7 años;Superior a 7 años;No;Exitosos;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3
2022-10-07 09:29:11.0000000;;Colombiana;Virtual;Bogotá;Masculino;32;Administrador de proyecto;Superior a 7 años;De 3 a 7 años;Si;Discutidos;3;3;3;3;4;3;4;3;3;3;3;3;3;4;3;4;3;3;4;3;3;4;3;3;3;3;3
2022-10-07 09:48:37.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;39;Analista;Superior a 7 años;Superior a 7 años;No;Discutidos;2;2;3;3;3;2;3;2;3;3;2;2;3;2;3;3;2;2;2;2;2;3;3;2;2;3;2
2022-10-07 10:02:58.0000000;;Colombiana;Virtual;Cundinamarca;Masculino;38;Administrador de proyecto;De 3 a 7 años;Superior a 7 años;Si;Exitosos;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-07 10:08:33.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;31;Administrador de proyecto;Superior a 7 años;Menos de 1 año;Si;Exitosos;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4
2022-10-07 14:11:21.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;31;Diseñador o arquitecto;De 3 a 7 años;De 3 a 7 años;Si;Exitosos;3;4;4;3;4;3;3;4;4;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;4;4;3
2022-10-07 14:12:24.0000000;;Colombiana;Híbrida (Virtual+Presencial);Cundinamarca;Masculino;24;Diseñador o arquitecto;De 1 a 3 años;De 1 a 3 años;Si;Exitosos;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4
2022-10-07 14:22:12.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;34;Diseñador o arquitecto;Menos de 1 año;Menos de 1 año;Si;Exitosos;4;4;4;4;3;3;3;3;4;3;4;3;3;4;4;4;4;4;3;4;3;4;4;4;3;3;4
2022-10-07 14:27:38.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;34;Diseñador o arquitecto;De 1 a 3 años;Superior a 7 años;Si;Discutidos;3;3;4;3;3;2;3;3;4;3;3;2;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-07 14:34:31.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;28;Diseñador o arquitecto;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;3;4;4;4;4;2;3;4;4;3;3;3;3;4;4;3;4;4;4;4;4;4;3;4;4;4;3
2022-10-07 14:41:02.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;34;Diseñador o arquitecto;Superior a 7 años;De 1 a 3 años;Si;Exitosos;3;3;4;3;4;3;2;3;3;3;4;4;3;4;3;3;4;4;3;3;3;3;3;4;3;4;4
2022-10-07 14:42:48.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;35;Diseñador o arquitecto;De 1 a 3 años;Superior a 7 años;Si;Exitosos;3;3;3;3;3;1;2;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3
2022-10-07 14:45:44.0000000;;Colombiana;Híbrida (Virtual+Presencial);Cundinamarca;Femenino;48;Diseñador o arquitecto;Superior a 7 años;Superior a 7 años;Si;Exitosos;3;3;3;4;4;3;3;3;3;3;3;3;3;4;4;4;4;3;3;3;3;3;3;3;3;3;4
2022-10-07 14:49:32.0000000;;Colombiana;Híbrida (Virtual+Presencial);Caldas;Masculino;38;Diseñador o arquitecto;Superior a 7 años;Superior a 7 años;Si;Exitosos;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-07 14:51:46.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;24;Diseñador o arquitecto;De 1 a 3 años;De 1 a 3 años;Si;Discutidos;3;4;3;3;4;2;2;2;4;4;3;2;3;3;3;4;3;3;3;3;2;4;3;3;2;3;3
2022-10-07 15:13:10.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;44;Diseñador o arquitecto;Superior a 7 años;De 3 a 7 años;Si;Exitosos;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4
2022-10-07 15:17:31.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;40;Diseñador o arquitecto;Menos de 1 año;Superior a 7 años;Si;Exitosos;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-07 16:32:42.0000000;;Colombiana;Virtual;Antioquia;Masculino;38;Analista;Superior a 7 años;Superior a 7 años;Si;Exitosos;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4
2022-10-07 16:33:09.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;49;Diseñador o arquitecto;Superior a 7 años;Superior a 7 años;Si;Exitosos;2;3;3;3;3;2;3;3;3;3;2;3;2;3;3;3;3;3;4;4;3;3;3;3;3;3;3
2022-10-07 17:05:25.0000000;;Colombiana;Virtual;Bolívar;Masculino;39;Diseñador o arquitecto;Superior a 7 años;De 1 a 3 años;Si;Discutidos;3;4;3;2;3;2;2;3;3;3;3;2;3;1;3;2;3;3;3;3;3;3;3;3;3;3;2
2022-10-07 19:03:15.0000000;;Extranjero;Virtual;Nariño;Masculino;37;Aseguradores de calidad;Superior a 7 años;Menos de 1 año;Si;Exitosos;3;3;4;3;3;4;4;3;4;3;3;3;4;4;4;4;3;3;4;4;4;4;4;3;4;3;4
2022-10-07 19:05:55.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;28;Programador;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;3;3;4;3;4;3;3;4;4;3;3;3;3;3;3;4;3;3;3;3;4;3;3;3;4;4;3
2022-10-07 19:41:18.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;28;Tester;De 1 a 3 años;De 3 a 7 años;Si;Exitosos;3;3;2;3;3;3;3;3;2;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-07 19:46:36.0000000;;Colombiana;Virtual;Bogotá;Masculino;33;Diseñador o arquitecto;Superior a 7 años;De 3 a 7 años;Si;Discutidos;3;4;4;4;4;3;4;4;4;3;3;3;4;3;3;3;4;3;3;3;4;4;3;3;4;4;3
2022-10-07 19:48:40.0000000;;Colombiana;Virtual;Risaralda;Masculino;27;Programador;De 1 a 3 años;Menos de 1 año;Si;Exitosos;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-07 20:21:39.0000000;;Colombiana;Virtual;Risaralda;Masculino;26;Programador;De 3 a 7 años;Menos de 1 año;Si;Exitosos;3;3;3;3;3;2;3;3;3;3;2;3;3;3;2;3;3;4;3;3;3;3;3;3;3;3;3
2022-10-07 20:32:21.0000000;;Colombiana;Virtual;Norte de Santander;Femenino;22;Programador;De 1 a 3 años;De 1 a 3 años;Si;Exitosos;4;4;4;4;4;3;3;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-07 20:58:10.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;25;Analista;Menos de 1 año;Menos de 1 año;Si;Exitosos;3;3;4;4;3;2;3;3;4;4;4;3;3;3;3;4;3;3;3;3;4;3;3;3;4;4;3
2022-10-08 05:30:31.0000000;;Colombiana;Virtual;Atlántico;Masculino;22;Programador;De 1 a 3 años;Menos de 1 año;Si;Discutidos;4;3;4;3;4;3;3;4;3;2;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3
2022-10-08 08:31:43.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;41;Administrador de proyecto;Superior a 7 años;Superior a 7 años;Si;Exitosos;3;4;4;4;4;3;4;4;4;4;3;3;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4
2022-10-08 08:51:28.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;30;Programador;De 1 a 3 años;De 1 a 3 años;No;Discutidos;3;3;3;3;3;2;3;3;2;3;3;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-08 11:56:18.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;23;Programador;Menos de 1 año;De 1 a 3 años;Si;Exitosos;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-08 11:56:39.0000000;;Colombiana;Virtual;Bogotá;Masculino;42;Diseñador o arquitecto;Superior a 7 años;De 3 a 7 años;Si;Exitosos;4;4;4;4;4;3;3;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-08 12:02:56.0000000;;Colombiana;Virtual;Cundinamarca;Masculino;23;Programador;Menos de 1 año;De 1 a 3 años;Si;Exitosos;4;4;4;4;3;3;4;4;4;3;3;3;3;4;4;3;4;4;4;3;3;4;4;4;4;3;4
2022-10-08 12:20:56.0000000;;Colombiana;Virtual;Bogotá;Masculino;22;Programador;De 1 a 3 años;Menos de 1 año;Si;Exitosos;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-08 12:54:52.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;31;Diseñador o arquitecto;De 3 a 7 años;Menos de 1 año;Si;Exitosos;3;3;3;4;3;4;4;3;3;4;4;2;4;3;3;3;4;4;4;4;3;4;3;4;3;3;4
2022-10-08 19:38:44.0000000;;Colombiana;Virtual;Bogotá;Femenino;27;Tester;De 3 a 7 años;De 3 a 7 años;Si;Exitosos;3;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-09 09:57:15.0000000;;Colombiana;Híbrida (Virtual+Presencial);Cundinamarca;Masculino;31;Diseñador o arquitecto;De 3 a 7 años;De 1 a 3 años;Si;Exitosos;4;4;4;4;4;3;3;4;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-09 20:28:27.0000000;;Colombiana;Virtual;Bogotá;Masculino;32;Administrador de proyecto;De 3 a 7 años;Menos de 1 año;No;Discutidos;3;3;2;3;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2022-10-10 20:28:10.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Femenino;28;Analista;Menos de 1 año;Menos de 1 año;Si;Exitosos;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4
2022-10-10 20:35:19.0000000;;Colombiana;Virtual;Bogotá;Femenino;27;Administrador de proyecto;De 1 a 3 años;Menos de 1 año;Si;Exitosos;3;3;4;3;4;3;3;3;3;2;3;4;3;3;3;3;3;3;3;3;4;3;3;3;4;3;3
2022-10-10 20:39:23.0000000;;Colombiana;Virtual;Cundinamarca;Masculino;26;Administrador de proyecto;Menos de 1 año;Menos de 1 año;Si;Exitosos;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2022-10-11 06:39:32.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;30;Analista;De 1 a 3 años;De 3 a 7 años;Si;Exitosos;3;4;3;3;3;3;4;4;3;3;3;3;3;4;4;3;3;3;3;3;3;3;4;3;4;3;3
2022-10-15 18:10:08.0000000;;Colombiana;Virtual;Bogotá;Masculino;35;Diseñador o arquitecto;Menos de 1 año;De 3 a 7 años;Si;Exitosos;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3
2022-10-17 20:05:03.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;27;Programador;Menos de 1 año;Menos de 1 año;Si;Discutidos;3;2;3;3;3;2;3;2;2;3;2;2;3;3;3;3;2;2;3;3;4;3;3;2;3;3;3
2022-10-18 15:26:43.0000000;;Colombiana;Híbrida (Virtual+Presencial);Bogotá;Masculino;52;Administrador de proyecto;Superior a 7 años;De 3 a 7 años;Si;Exitosos;4;3;4;4;4;4;3;4;3;4;4;3;3;4;4;4;4;3;4;3;4;4;4;3;4;4;4
